                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.99007,                 1.0246,                 1.2496,                0.76503,                0.78304,                0.83653,                0.49328,                 1.2716,                  1.093,                 1.6519,             0.00042905,             0.00042905,             0.00042905
                     35,                0.93034,                 1.0226,                 1.2577,                0.85974,                0.76408,                0.86666,                0.51456,                 1.2436,                0.97749,                  1.626,             0.00041405,             0.00041405,             0.00041405
                     36,                0.94997,                0.97259,                 1.2343,                0.75378,                0.79405,                0.82799,                0.48894,                 1.2561,                 1.0876,                 1.6484,             0.00039905,             0.00039905,             0.00039905
                     37,                0.94284,                0.96451,                 1.2274,                0.82729,                 0.8239,                0.87175,                0.53851,                 1.2305,                0.95699,                 1.6287,             0.00038405,             0.00038405,             0.00038405
                     38,                0.94113,                0.92045,                 1.2318,                0.81549,                0.75432,                0.84544,                0.54441,                 1.2401,                 1.0088,                 1.6468,             0.00036905,             0.00036905,             0.00036905
                     39,                 0.9413,                0.92215,                 1.2413,                0.87418,                0.70825,                0.85086,                0.54635,                 1.2189,                0.98617,                 1.6278,             0.00035406,             0.00035406,             0.00035406
                     40,                0.91566,                0.92306,                 1.2369,                   0.83,                0.77816,                0.84627,                0.51286,                 1.3492,                0.96404,                 1.7604,             0.00033906,             0.00033906,             0.00033906
                     41,                0.97311,                0.92714,                 1.2191,                0.80859,                0.74234,                0.84756,                0.50312,                 1.2997,                  1.061,                 1.6839,             0.00032406,             0.00032406,             0.00032406
                     42,                0.90746,                0.94581,                 1.2541,                0.83108,                0.83126,                0.87631,                0.54195,                 1.2282,                0.88783,                 1.6449,             0.00030906,             0.00030906,             0.00030906
                     43,                0.90499,                0.90034,                 1.2117,                0.84342,                0.82183,                0.87668,                 0.5559,                 1.2555,                 0.9263,                 1.6524,             0.00029406,             0.00029406,             0.00029406
                     44,                0.88737,                0.87911,                 1.2143,                0.90716,                0.80591,                0.87501,                0.56665,                 1.2104,                0.89133,                 1.6302,             0.00027906,             0.00027906,             0.00027906
                     45,                0.85764,                0.85722,                 1.1941,                0.83826,                0.79293,                0.87266,                0.55377,                 1.2416,                0.90303,                 1.6402,             0.00026406,             0.00026406,             0.00026406
                     46,                0.83323,                0.83304,                  1.185,                0.84735,                0.79658,                0.86687,                0.54233,                 1.2309,                0.91338,                 1.6175,             0.00024907,             0.00024907,             0.00024907
                     47,                0.88545,                0.85145,                 1.2077,                 0.8523,                0.81224,                  0.873,                0.58583,                 1.2139,                0.86279,                 1.6087,             0.00023407,             0.00023407,             0.00023407
                     48,                0.86045,                0.81866,                   1.19,                0.82267,                0.80939,                0.87197,                0.56927,                 1.2139,                0.88901,                   1.59,             0.00021907,             0.00021907,             0.00021907
